"Bin.Id","dataset","method","purity","completeness","F1","contamination","bin.size","w1k_GC.bin.part","w1k_GC.name","w1k_GC.ncmp","w1k_GC.avg","w1k_GC.sdev","w1k_GC.skew","w1k_GC.kurt","w1k_GC.med","w1k_GC.p025","w1k_GC.p975","w1k_GC.p050","w1k_GC.p950","w1k_GC.p100","w1k_GC.p900","w5k_f4c.bin.part","w5k_f4c.name","w5k_f4c.ncmp","w5k_f4c.avg","w5k_f4c.sdev","w5k_f4c.skew","w5k_f4c.kurt","w5k_f4c.med","w5k_f4c.p025","w5k_f4c.p975","w5k_f4c.p050","w5k_f4c.p950","w5k_f4c.p100","w5k_f4c.p900","w10k_m3c.bin.part","w10k_m3c.name","w10k_m3c.ncmp","w10k_m3c.avg","w10k_m3c.sdev","w10k_m3c.skew","w10k_m3c.kurt","w10k_m3c.med","w10k_m3c.p025","w10k_m3c.p975","w10k_m3c.p050","w10k_m3c.p950","w10k_m3c.p100","w10k_m3c.p900","w10k_m4c.bin.part","w10k_m4c.name","w10k_m4c.ncmp","w10k_m4c.avg","w10k_m4c.sdev","w10k_m4c.skew","w10k_m4c.kurt","w10k_m4c.med","w10k_m4c.p025","w10k_m4c.p975","w10k_m4c.p050","w10k_m4c.p950","w10k_m4c.p100","w10k_m4c.p900","w50k_k4s.bin.part","w50k_k4s.name","w50k_k4s.ncmp","w50k_k4s.avg","w50k_k4s.sdev","w50k_k4s.skew","w50k_k4s.kurt","w50k_k4s.med","w50k_k4s.p025","w50k_k4s.p975","w50k_k4s.p050","w50k_k4s.p950","w50k_k4s.p100","w50k_k4s.p900","checkm.ngenomes","checkm.nmarkers","checkm.nmarker.sets","checkm.Completeness","checkm.Contamination","checkm.Strain.heterogeneity","checkm.Purity"
"MockI_cc_0","HC227","Cc",95.5399260761436,70.8362920016594,81.3541043249566,4.66828278713742,5324127,1,"0.fasta_w1k_s500_points.csv",9157,0.342413836409304,0.0169427537438951,-0.710660412432503,4.58623173483881,0.3435,0.3045,0.372,0.313,0.3675,0.321,0.3625,0.641712716469761,"0.fasta_w5k_s1k_cmp.csv",1457778,0.0254228198113842,0.011451790988967,1.82748959544762,8.7433211512972,0.022709,0.011516,0.054673,0.01274,0.04722,0.014321,0.039851,0.290602008554642,"0.fasta_w10k_s5k_m3c_cmp.csv",13366,0.0514414954361814,0.0244619841684527,1.22805500707073,5.22657873091224,0.0466295,0.018094125,0.1131605,0.021138,0.0979795,0.025049,0.0841,0.290602008554642,"0.fasta_w10k_s5k_m4c_cmp.csv",13366,0.140030990573096,0.0401231599367485,0.749667732877448,3.68223389829187,0.134368,0.07809125,0.233123125,0.0850975,0.21335475,0.09357,0.194037,-1,"0.fasta_w50k_s5k_cmp.csv",1,1,NA,NA,NA,1,1,1,1,1,1,1,564,348,229,73.78,7.53,13.04,92.9973030782107
"MockI_cc_100","HC227","Cc",97.3182436528089,62.0512070026995,75.7825851466706,2.75565633588552,2147958,1,"100.fasta_w1k_s500_points.csv",3415,0.365192093704246,0.014315329968056,-0.355114891778637,3.24988237526278,0.366,0.336,0.391,0.34,0.387,0.346,0.383,0.376689860788712,"100.fasta_w5k_s1k_cmp.csv",50403,0.0154912871654465,0.00659622201228214,1.60959990804487,7.60587808318509,0.014216,0.006689,0.0326236,0.007635,0.0280949,0.008829,0.023524,0.0923477088471935,"100.fasta_w10k_s5k_m3c_cmp.csv",171,0.0483579707602339,0.0170784128389947,0.905525855832674,4.38666611014335,0.046026,0.02021375,0.09074025,0.0240065,0.0780075,0.030371,0.072365,0.0923477088471935,"100.fasta_w10k_s5k_m4c_cmp.csv",105,0.132080819047619,0.0239841592598038,-0.162938059689066,3.50819713636231,0.132113,0.0860566,0.1787794,0.0916638,0.174109,0.1017896,0.1629678,-1,"100.fasta_w50k_s5k_cmp.csv",1,1,NA,NA,NA,1,1,1,1,1,1,1,69,400,198,75.64,2.43,25,97.6276481499561
"MockI_cc_101","HC227","Cc",73.843841188434,0.344370850003423,0.685544661580562,35.4209076757275,11309,1,"101.fasta_w1k_s500_points.csv",18,0.228222222222222,0.0283835195669342,-1.28294193669088,2.95601108314217,0.23925,0.1702625,0.2512875,0.173025,0.251075,0.1782,0.251,0.463436201255637,"101.fasta_w5k_s1k_cmp.csv",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"101.fasta_w10k_s5k_m3c_cmp.csv",1,1,NA,NA,NA,1,1,1,1,1,1,1,-1,"101.fasta_w10k_s5k_m4c_cmp.csv",1,1,NA,NA,NA,1,1,1,1,1,1,1,-1,"101.fasta_w50k_s5k_cmp.csv",1,1,NA,NA,NA,1,1,1,1,1,1,1,5656,56,24,0,0,0,100
"MockI_cc_102","HC227","Cc",81.5555806306434,86.8207352529281,84.1058368236074,22.6157661152453,5397123,1,"102.fasta_w1k_s500_points.csv",10246,0.202949248487215,0.0194455468742082,-0.150459707190149,3.82976792446488,0.2045,0.162,0.2375,0.1695,0.2325,0.178,0.226,0.921806488382792,"102.fasta_w5k_s1k_cmp.csv",7681240,0.0921053577255756,0.0430953801506514,2.64600195893506,17.8754015899185,0.082664,0.040866,0.19325,0.04572,0.166325,0.051891,0.141773,0.796981465866166,"102.fasta_w10k_s5k_m3c_cmp.csv",212878,0.180363426272325,0.0877226173088899,0.978754807586484,3.96434899306569,0.163478,0.05818265,0.394457825,0.0687157,0.35075115,0.0832791,0.3019355,0.796981465866166,"102.fasta_w10k_s5k_m4c_cmp.csv",212878,0.271821577532671,0.0573107230873503,0.676800089974847,4.05066579207978,0.266237,0.17764585,0.4005528,0.18959955,0.37292815,0.204296,0.3453659,0.277664044343625,"102.fasta_w50k_s5k_cmp.csv",6903,0.605120851803564,0.0762602128836936,-2.20466785728388,11.0751019017055,0.614067,0.3600938,0.71422105,0.494339,0.697755,0.5441712,0.6775648,5449,104,58,98.28,25.86,14.55,79.4533608771651
"MockI_cc_103","HC227","Cc",99.9284816777158,93.835994052373,96.7864555878104,0.0715695075953192,4958170,1,"103.fasta_w1k_s500_points.csv",9603,0.340625898156826,0.0139072166060352,-0.797250056437113,5.82419872761804,0.3415,0.3115,0.365,0.3175,0.3615,0.3235,0.357,0.98470605082117,"103.fasta_w5k_s1k_cmp.csv",8074171,0.0277180590825981,0.0164725922076091,5.59990777578561,62.2521896291252,0.023996,0.012541,0.063323,0.01382,0.052013,0.015472,0.042486,0.923302549125988,"103.fasta_w10k_s5k_m3c_cmp.csv",240471,0.0321732126451838,0.0164196420369233,1.67735397206082,7.68444879743197,0.028651,0.01121275,0.074801,0.013126,0.0634995,0.015668,0.052667,0.923302549125988,"103.fasta_w10k_s5k_m4c_cmp.csv",240471,0.144610468630313,0.0391111986640836,1.45313846936264,6.42493937523872,0.137578,0.09001175,0.25014275,0.0964655,0.219824,0.104351,0.192105,0.291506947119603,"103.fasta_w50k_s5k_cmp.csv",3828,0.645689888975967,0.0748567720893281,-1.7681397856595,8.90852080126602,0.650651,0.409262625,0.762880125,0.53779905,0.74861455,0.5801115,0.7274507,274,388,214,97.36,0.93,25,99.0785693054592
"MockI_cc_104","HC227","Cc",9.31096152943235,1.8414779096938,3.0748304114175,974.002933895663,937132,1,"104.fasta_w1k_s500_points.csv",1464,0.217603483606557,0.0241786409788787,0.340516170655657,3.26739326824505,0.215,0.1722875,0.2722125,0.180575,0.2605,0.1885,0.249,0.354397246065656,"104.fasta_w5k_s1k_cmp.csv",17205,0.191612196222028,0.0822823246190943,0.700453141003031,4.61745953407854,0.181012,0.0405595,0.3708393,0.0601836,0.3348536,0.0968974,0.2971356,0.205788512183983,"104.fasta_w10k_s5k_m3c_cmp.csv",276,0.200963460144928,0.0837984842388531,-0.51668443997163,2.71135596154646,0.210785,0.0196205,0.33825125,0.02998025,0.322605,0.0692,0.30207,0.205788512183983,"104.fasta_w10k_s5k_m4c_cmp.csv",276,0.33056122826087,0.100305580965162,-0.92455492948162,3.59744188191449,0.3453935,0.082289625,0.483985875,0.106647,0.4613655,0.172208,0.434852,-1,"104.fasta_w50k_s5k_cmp.csv",1,1,NA,NA,NA,1,1,1,1,1,1,1,586,325,181,9.26,1.86,16.67,98.173964264677
"MockI_cc_105","HC227","Cc",84.7614473894843,15.5607827855142,26.2943610626043,17.9781646961426,1368063,1,"105.fasta_w1k_s500_points.csv",2563,0.242843932891143,0.0180474813209013,0.309760793903323,4.82667239941922,0.2425,0.207,0.276475,0.215,0.271,0.221,0.265,0.919480316330461,"105.fasta_w5k_s1k_cmp.csv",407253,0.146806889650905,0.0655610761954693,1.21367673610204,4.87866713538486,0.127658,0.066824,0.304056,0.07334,0.2730324,0.08131,0.239412,0.737526707468881,"105.fasta_w10k_s5k_m3c_cmp.csv",9591,0.140884506725055,0.0852862420113728,1.03191816272918,3.32192743230482,0.111837,0.03986325,0.3427365,0.0471305,0.311813,0.056489,0.274546,0.737526707468881,"105.fasta_w10k_s5k_m4c_cmp.csv",9591,0.307970969554791,0.0621528830903613,-0.103894526171062,3.86898215477675,0.305435,0.19124275,0.43423425,0.217305,0.411811,0.23861,0.387299,0.146822916780879,"105.fasta_w50k_s5k_cmp.csv",66,0.617537454545455,0.241692960868962,-0.502986716932232,1.56491969490136,0.80078,0.220159375,0.842275,0.2299475,0.84089225,0.2607605,0.8389,5656,56,24,0,0,0,100
"MockI_cc_106","HC227","Cc",63.220704789887,95.86431984497,76.1933422547205,58.1760284583166,5458563,1,"106.fasta_w1k_s500_points.csv",10598,0.361937818456313,0.0159701317845556,-0.49531881390791,3.90149152397607,0.363,0.3275,0.3905,0.3345,0.386,0.3415,0.381,0.997946162753824,"106.fasta_w5k_s1k_cmp.csv",10203903,0.0308949501667156,0.0191521091022266,0.796064788718296,3.22467839618066,0.026365,0.008137,0.072246,0.009134,0.064181,0.010526,0.056511,0.923907995565866,"106.fasta_w10k_s5k_m3c_cmp.csv",297606,0.0776018045805528,0.0513787560435685,0.692450827592444,2.7390357090764,0.062926,0.014644125,0.1837555,0.017635,0.168295,0.021933,0.150605,0.923907995565866,"106.fasta_w10k_s5k_m4c_cmp.csv",159895,0.170803413802808,0.040461862247163,0.507216685676261,3.66873365210299,0.168172,0.100503,0.25979755,0.109697,0.241994,0.121287,0.222665,0.394973365700826,"106.fasta_w50k_s5k_cmp.csv",12246,0.68104115433611,0.0774437745960659,-0.967945365551768,6.10769640555357,0.6737845,0.506509875,0.80491,0.57888925,0.793206,0.605234,0.7789855,5449,103,57,88.04,68.9,3.92,59.206631142688
"MockI_cc_107","HC227","Cc",99.6389062483687,79.2796214042707,88.3009140321389,0.362402363923221,2681852,1,"107.fasta_w1k_s500_points.csv",5251,0.209718815463721,0.0207384601578906,-0.640974514123601,3.53379328946073,0.2125,0.161,0.243375,0.169,0.238,0.1805,0.2335,0.991363803819152,"107.fasta_w5k_s1k_cmp.csv",2785980,0.0959373307539896,0.0448627558465605,2.21400688083862,12.3906505793369,0.084499,0.043665,0.210849525,0.048811,0.182168,0.054923,0.152255,0.966418355673617,"107.fasta_w10k_s5k_m3c_cmp.csv",94395,0.0656168260712962,0.0473420612981031,2.55127183976844,13.056215256679,0.051959,0.0178837,0.19254115,0.0212624,0.1577921,0.0259034,0.1220336,0.966418355673617,"107.fasta_w10k_s5k_m4c_cmp.csv",94395,0.21262186437841,0.051110390848361,0.771357417282808,3.73605496693597,0.204751,0.13299605,0.3338224,0.143113,0.3115323,0.155271,0.2838286,0.580728541321445,"107.fasta_w50k_s5k_cmp.csv",8256,0.619364301598837,0.0709237912410839,-2.7325833550247,13.3504419718414,0.631265,0.384650625,0.7036525,0.50212475,0.6936655,0.56438,0.6808865,57,420,207,97.58,2.42,87.5,97.6371802382347
"MockI_cc_108","HC227","Cc",33.3307901004661,97.7340114642491,49.7090261138185,200.022890842308,11953290,1,"108.fasta_w1k_s500_points.csv",23556,0.306276277806079,0.0249171805722232,-0.549061898559896,3.58649130466216,0.3085,0.2554375,0.3465,0.2655,0.342,0.275,0.336,0.996101742700127,"108.fasta_w5k_s1k_cmp.csv",59443156,0.0966925906021881,0.0672106450859968,2.67274543175151,17.1987589508315,0.083076,0.021523,0.245388,0.025679,0.200772,0.032658,0.169064,0.97456599814779,"108.fasta_w10k_s5k_m3c_cmp.csv",2081820,0.100420659529642,0.0528271118997459,0.776565436909124,3.81802724737949,0.09429,0.023389475,0.217526525,0.028712,0.194627,0.036991,0.170662,0.97456599814779,"108.fasta_w10k_s5k_m4c_cmp.csv",2081820,0.27260336389073,0.0868620576850468,0.098411780160817,2.18940707330853,0.273234,0.123439,0.433225525,0.138588,0.41195,0.158781,0.386575,0.698984631009538,"108.fasta_w50k_s5k_cmp.csv",475800,0.709541704262295,0.0821940165841023,-0.915251368073303,4.28805081727099,0.733533,0.549807975,0.820669025,0.5710669,0.810976,0.595109,0.798558,5656,56,24,100,230.64,16.61,30.2443745463344
